,data
0,0
1,0
2,2
3,2
4,0
5,1
6,0
7,1
8,2
9,2
10,0
11,0
12,1
13,2
14,2
15,0
16,0
17,2
18,0
19,1
20,0
21,1
22,0
23,1
24,1
25,2
26,0
27,1
28,2
29,2
30,2
31,1
32,0
33,0
34,1
35,0
36,0
37,1
38,0
39,1
40,0
41,1
42,0
43,1
44,1
45,1
46,0
47,1
48,2
49,2
50,1
51,2
52,1
53,1
54,1
55,0
56,1
57,2
58,0
59,0
60,0
61,0
62,0
63,0
64,2
65,2
66,2
67,1
68,0
69,0
70,1
71,1
72,1
73,0
74,1
75,1
76,0
77,0
78,2
79,1
80,1
81,1
82,0
83,1
84,2
85,0
86,0
87,0
88,2
89,0
90,0
91,0
92,0
93,2
94,0
95,0
96,0
97,1
98,1
99,0
100,1
101,1
102,2
103,2
104,1
105,0
106,0
107,2
108,0
109,0
110,0
111,1
112,1
113,0
114,1
115,0
116,0
117,0
118,0
119,0
120,2
121,0
122,0
123,1
124,2
125,1
126,0
127,1
128,1
129,2
130,0
131,1
132,2
133,1
134,1
135,0
136,0
137,1
138,0
139,2
140,2
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,3
149,1
150,0
151,1
152,0
153,2
154,1
155,0
156,0
157,0
158,2
159,2
160,0
161,0
162,1
163,1
164,0
165,0
166,1
167,0
168,1
169,1
170,0
171,0
172,1
173,0
174,1
175,0
176,0
177,1
178,0
179,1
180,0
181,0
182,0
183,1
184,2
185,2
186,0
187,0
188,1
189,1
190,0
191,1
192,1
193,1
194,0
195,0
196,0
197,0
198,1
199,2
200,0
201,1
202,1
203,2
204,2
205,0
206,2
207,1
208,1
209,0
210,0
211,1
212,0
213,2
214,1
215,0
216,0
217,2
218,1
219,1
220,1
221,1
222,0
223,1
224,1
225,2
226,2
227,0
228,1
229,0
230,1
231,0
232,0
233,1
234,1
235,1
236,0
237,1
238,1
239,1
240,0
241,1
242,2
243,0
244,1
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,2
254,2
255,1
256,0
257,0
258,0
259,0
260,1
261,1
262,1
263,2
264,1
265,1
266,0
267,1
268,0
269,0
270,0
271,0
272,2
273,2
274,0
275,0
276,0
277,1
278,2
279,1
280,0
281,0
282,1
283,0
284,1
285,1
286,0
287,2
288,1
289,0
290,2
291,0
292,0
293,0
294,0
295,1
296,0
297,0
298,0
299,0
300,2
301,2
302,2
303,1
304,1
305,0
306,0
307,0
308,2
309,0
310,0
311,0
312,1
313,1
314,2
315,0
316,1
317,0
318,0
319,0
320,0
321,1
322,1
323,0
324,1
325,0
326,0
327,1
328,0
329,0
330,1
331,0
332,2
333,1
334,2
335,1
336,1
337,0
338,2
339,0
340,0
341,1
342,2
343,0
344,1
345,0
346,2
347,1
348,0
349,0
350,0
351,2
352,0
353,1
354,0
355,0
356,1
357,0
358,0
359,0
360,0
361,0
362,2
363,1
364,3
365,2
366,1
367,1
368,0
369,0
370,0
371,3
372,0
373,2
374,0
375,2
376,0
377,1
378,0
379,0
380,1
381,2
382,1
383,0
384,0
385,1
386,2
387,0
388,1
389,2
390,0
391,2
392,1
393,1
394,1
395,1
396,0
397,1
398,0
399,1
400,1
401,0
402,1
403,0
404,1
405,0
406,1
407,0
408,0
409,0
410,1
411,0
412,0
413,3
414,0
415,2
416,0
417,1
418,1
419,1
420,2
421,0
422,1
423,0
424,1
425,1
426,2
427,1
428,0
429,1
430,0
431,0
432,0
433,0
434,1
435,0
436,0
437,0
438,0
439,1
440,1
441,0
442,0
443,0
444,0
445,2
446,3
447,1
448,1
449,0
450,0
451,1
452,0
453,0
454,1
455,0
456,0
457,1
458,0
459,2
460,1
461,0
462,2
463,1
464,1
465,2
466,0
467,1
468,0
469,1
470,0
471,0
472,1
473,3
474,2
475,0
476,0
477,2
478,0
479,2
480,2
481,2
482,1
483,0
484,1
485,0
486,1
487,0
488,0
489,1
490,1
491,1
492,1
493,1
494,0
495,2
496,1
497,0
498,0
499,1
500,1
501,1
502,0
503,1
504,1
505,0
506,1
507,1
508,1
509,0
510,2
511,2
512,2
513,0
514,1
515,0
516,0
517,0
518,0
519,1
520,1
521,0
522,2
523,2
524,1
525,1
526,1
527,0
528,1
529,2
530,2
531,0
532,0
